type;ident;lat;long;y_proj;x_proj;ingreso_economico
TRACK;1.4.2-14;-16.3941142;-71.56145447;-1940193.075;2835535.23;B
TRACK;1.4.2-14;-16.39422647;-71.56145636;-1940206.237;2835533.554;B
TRACK;1.4.2-14;-16.39436806;-71.56143256;-1940223.165;2835534.407;B
TRACK;1.4.2-14;-16.39434184;-71.56124875;-1940222.397;2835555.588;B
TRACK;1.4.2-15; ; ;-1.516416327;20763369.87;B
TRACK;1.4.2-15;-16.39440005;-71.56134815;-1940227.985;2835543.56;B
TRACK;1.4.2-15;-16.39459761;-71.56120365;-1940253.005;2835557.369;B
TRACK;1.4.2-15;-16.39480849;-71.56097549;-1940280.641;2835580.488;B
TRACK;1.4.2-15;-16.39491139;-71.56090907;-1940293.562;2835586.678;B
TRACK;1.4.2-15;-16.39495536;-71.56088784;-1940298.993;2835588.512;B
TRACK;1.4.2-15;-16.39493528;-71.56064794;-1940299.652;2835615.971;B
TRACK;1.4.2-15;-16.39461645;-71.5606491;-1940262.191;2835619.994;B
TRACK;1.4.2-15;-16.39429599;-71.56069282;-1940224.004;2835619.211;B
TRACK;1.4.2-16; ; ;-1.516416327;20763369.87;B
TRACK;1.4.2-16;-16.39537134;-71.56131861;-1940342.431;2835534.255;B
TRACK;1.4.2-16;-16.39548383;-71.56131441;-1940355.696;2835533.266;B
TRACK;1.4.2-16;-16.39554948;-71.56066533;-1940371.569;2835605.998;B
TRACK;1.4.2-16;-16.39533557;-71.56065506;-1940346.575;2835609.948;B
TRACK;1.4.2-16;-16.3951778;-71.56064995;-1940328.11;2835612.584;B
TRACK;1.4.2-16;-16.39505413;-71.56064737;-1940313.618;2835614.487;B
TRACK;1.4.2-16;-16.39504683;-71.56075365;-1940311.423;2835602.533;B
TRACK;1.4.2-16;-16.39509056;-71.56078652;-1940316.147;2835598.236;B
TRACK;1.4.2-16;-16.39530412;-71.56083971;-1940340.56;2835589.424;B
TRACK;1.4.2-16;-16.39523211;-71.5612692;-1940326.7;2835541.67;B
TRACK;1.4.2-17; ; ;-1.516416327;20763369.87;B
TRACK;1.4.2-17;-16.39553934;-71.56128206;-1940362.623;2835536.21;B
TRACK;1.4.2-17;-16.39574869;-71.56125927;-1940387.496;2835536.066;B
TRACK;1.4.2-17;-16.39598654;-71.56118729;-1940416.337;2835541.128;B
TRACK;1.4.2-17;-16.39601421;-71.56100945;-1940421.824;2835560.929;B
TRACK;1.4.2-17;-16.39599477;-71.56063687;-1940424.226;2835603.422;B
TRACK;1.4.2-17;-16.39559771;-71.56065027;-1940377.423;2835607.076;B
TRACK;1.4.2-18; ; ;-1.516416327;20763369.87;B
TRACK;1.4.2-18;-16.39298128;-71.56120864;-1940063.107;2835577.86;B
TRACK;1.4.2-18;-16.39261556;-71.5612757;-1940019.311;2835575.02;B
TRACK;1.4.2-18;-16.39266811;-71.56149612;-1940022.711;2835549.347;B
TRACK;1.4.2-18;-16.39278306;-71.56168114;-1940033.885;2835526.873;B
TRACK;1.4.2-18;-16.39302354;-71.56196678;-1940058.538;2835491.357;B
TRACK;1.4.2-18;-16.39322763;-71.56222295;-1940079.286;2835459.656;B
TRACK;1.4.2-18;-16.39344922;-71.56250387;-1940101.779;2835424.922;B
TRACK;1.4.2-18;-16.39367262;-71.56262349;-1940126.512;2835408.45;B
TRACK;1.4.2-18;-16.39423621;-71.56274937;-1940191.122;2835386.837;B
TRACK;1.4.2-18;-16.39424605;-71.56271723;-1940192.681;2835390.352;B
TRACK;1.4.2-18;-16.39408506;-71.56257809;-1940175.524;2835408.224;B
TRACK;1.4.2-18;-16.39358682;-71.56225751;-1940121.037;2835451.059;B
TRACK;1.4.2-18;-16.39334277;-71.56208947;-1940094.488;2835473.289;B
TRACK;1.4.2-18;-16.39330845;-71.5619228;-1940092.552;2835492.632;B
TRACK;1.4.2-18;-16.39294246;-71.5614968;-1940054.924;2835545.695;B
TRACK;1.4.2-18;-16.39298495;-71.56140632;-1940061.052;2835555.4;B
TRACK;1.4.2-18;-16.3932014;-71.56133249;-1940087.402;2835560.951;B
TRACK;1.4.2-18;-16.39312968;-71.56114205;-1940081.374;2835583.476;B
