sequenced?,ID_MUESTRA,year,X,case_regional,case_local,district,locality,dog_status,complaint_date,symptom_date,kill_date,sample_date,ship_date,contain_date,infectious_period,noncontained_period,lon,lat,x_utm,y_utm
N,442,2016,442_2016,NA,15,CERRO COLORADO,APIPA SECTOR XII,NA,2016-09-15,2016-09-15,2016-09-18,2016-09-18,2016-09-19,2016-09-19,3,4,-71.6164981085184,-16.3345386498039,861640.62416314904,8191090.2501122896
N,480,2016,480_2016,NA,20,CERRO COLORADO,JLBYR SECTOR III,NA,2016-10-10,2016-10-07,2016-10-10,2016-10-10,2016-10-11,2016-10-12,3,5,-71.594386837820693,-16.332640083224501,864009.40896419506,8191261.1229292201
N,495,2016,495_2016,NA,23,CERRO COLORADO,JORGE CHAVEZ,NA,2016-10-15,2016-10-15,2016-10-15,2016-10-15,2016-10-17,2016-10-18,0,3,-71.5451994685085,-16.323522599485301,869288.39180037798,8192182.5440144399
N,534,2016,534_2016,NA,28,CERRO COLORADO,NUEVA AREQUIPA,NA,2016-11-17,2016-11-17,2016-11-17,2016-11-17,2016-11-17,2016-11-19,0,2,-71.589925564831205,-16.338371932638299,864476.00367569597,8190618.1319975397
N,562,2016,562_2016,NA,29,CERRO COLORADO,MERCADO MAYORISTA,NA,2016-12-08,2016-12-07,2016-12-08,2016-12-09,2016-12-09,2016-12-11,1,4,-71.583028590302305,-16.325662774201799,865237.41795258899,8192013.7367338603
N,563,2016,563_2016,NA,30,CERRO COLORADO,SANTA ISABEL ZONA II,NA,2016-12-11,2016-12-07,2016-12-09,2016-12-11,2016-12-12,2016-12-11,2,4,-71.581240944379203,-16.337492927507402,865406.64068356203,8190699.9205636503
N,576,2016,576_2016,NA,33,CERRO COLORADO,CERRILLOS,NA,2016-12-19,2016-12-19,2016-12-21,2016-12-21,2016-12-21,2016-12-23,2,4,-71.550669350371194,-16.313806860239598,868721.44003940397,8193268.8536439603
N,12,2017,12_2017,Caso003,2,CERRO COLORADO,VIA EVITAMIENTO,CON DUENHO,2017-01-06,2017-01-05,2017-01-06,2017-01-06,2017-01-06,2017-01-10,1,5,-71.581599999999995,-16.348182999999999,865348.32622390799,8189516.26395573
N,57,2017,57_2017,Caso006,4,CERRO COLORADO,VILLA MAJISTERIAL,CON DUENHO,2017-02-01,2017-01-28,2017-02-01,2017-02-01,2017-02-01,2017-02-03,4,6,-71.573864060803899,-16.3225820893011,866223.56776207802,8192338.5560223199
N,91,2017,91_2017,Caso009,8,CERRO COLORADO,CIUDAD MUNICIPAL,CON DUENHO,2017-03-24,2017-03-17,2017-03-21,2017-03-25,2017-03-27,NA,4,NA,-71.594764457476799,-16.323827480802201,863985.34577729495,8192238.0927750999
N,112,2017,112_2017,Caso017,10,CERRO COLORADO,CIUDAD MUNICIPAL,CON DUENHO,2017-04-10,2017-04-09,2017-04-10,2017-04-10,2017-04-10,NA,1,NA,-71.583058386089306,-16.326129390640499,865233.36283571005,8191962.0961478297
N,145,2017,145_2017,Caso019,NA,CAYMA,CABRERIAS,NA,2017-04-15,2017-04-13,2017-04-15,2017-04-15,2017-04-17,2017-04-19,2,6,-71.531432101175994,-16.302123474014302,870801.63386330905,8194528.3108017901
N,201,2017,201_2017,Caso024,11,CERRO COLORADO,VILLA SAN JUAN,SIN DUENHO,2017-06-14,2017-06-12,2017-06-14,2017-06-14,2017-06-14,2017-06-15,2,3,-71.586289369794201,-16.3379487867543,864865.75601729297,8190658.4865927603
N,259,2017,259_2017,Caso032,16,CERRO COLORADO,JORGE CHAVEZ,CON DUENHO,2017-07-31,2017-07-29,2017-07-31,2017-07-31,2017-07-31,2017-08-01,2,3,-71.543469013538299,-16.322370752306,869475.68705187005,8192307.0137958396
N,275,2017,275_2017,Caso034,17,CERRO COLORADO,ABAD DE PIERRE,CON DUENHO,2017-08-16,2017-08-13,2017-08-16,2017-08-16,2017-08-16,NA,3,NA,-71.540958987480707,-16.3160106064513,869756.18653884297,8193007.0883335304
N,302,2017,302_2017,Caso038,19,CERRO COLORADO,VILLA CERRILLOS,CON DUENHO,2017-09-17,2017-09-14,2017-09-17,2017-09-17,2017-09-18,2017-09-19,3,5,-71.547671450500502,-16.314074428698898,869041.67601373105,8193233.7773560099
N,51,2018,51_2018,Caso008,3,CERRO COLORADO,JLBYR SECTOR 9 AMPLIACION,CON DUENHO,2018-02-13,2018-02-10,2018-02-13,2018-02-13,2018-02-13,2018-02-15,3,5,-71.617679999999993,-16.351607999999999,861482.74979749601,8189201.3801473305
N,89,2018,89_2018,Caso012,5,CERRO COLORADO,JORGE CHAVEZ,CON DUENHO,2018-03-12,2018-03-10,2018-03-11,2018-03-13,2018-03-14,2018-03-16,1,6,-71.543729999999996,-16.324100000000001,869444.51375232602,8192115.90644929
N,140,2018,140_2018,Caso018,7,CERRO COLORADO,JLBYR SECTOR 9,SIN DUENHO,2018-04-14,2018-04-06,2018-04-14,2018-04-14,2018-04-14,2018-04-17,8,11,-71.612380000000002,-16.345424999999999,862061.05463306606,8189876.90704385
N,186,2018,186_2018,Caso024,10,CERRO COLORADO,NA,CON DUENHO,2018-05-05,2018-05-02,2018-05-05,2018-05-05,2018-05-05,2018-05-07,3,5,-71.583659999999995,-16.31917,865181.93903325999,8192734.1715183901
N,247,2018,247_2018,Caso027,11,CERRO COLORADO,NA,CON DUENHO,2018-06-01,2018-05-30,2018-06-01,2018-06-01,2018-06-01,2018-06-04,2,5,-71.540959999999998,-16.314485999999999,869758.94635465799,8193175.9998470396
