taxon	lon	lat	district	ID_MUESTRA	year	case_regional	case_local	locality	dog_status	contain_date	infectious_period	noncontained_period	best_date	species	lon	lat			
435_2018_14-Nov-18	-71.513259	-16.411916	paucarpata	435	2018	Caso045	NA	NA	NS	NA	NA	NA	14-Nov-18	DOG	-71.513259	-16.411916			
44_2016_17-Feb-16	-71.590568	-16.331576	ccolorado	44	2016	6	4	VILLA CANTERAS	CON DUENHO	18/02/16	0	1	17-Feb-16	DOG	-71.590568	-16.331576			
442_2016_15-Sep-16	-71.616498	-16.334539	ccolorado	442	2016	NA	15	APIPA SECTOR XII	NA	19/09/16	3	4	15-Sep-16	DOG	-71.616498	-16.334539			
447_2018_25-Nov-18	-71.612175	-16.35057	ccolorado	447	2018	Caso047	NA	NA	NA	27/11/18	NA	NA	25-Nov-18	DOG	-71.612175	-16.35057			
46_2017_25-Jan-17	-71.522992	-16.468976	socabaya	46	2017	Caso005	NA	SAN FERNANDO ASERMUL D 11		NA	NA	NA	25-Jan-17	DOG	-71.522992	-16.468976			
46_2019_13-Feb-19	-71.543503	-16.355951	cayma	46	2019	Caso005	NA	NA	CON DUENHO	19/02/19	NA	NA	13-Feb-19	DOG	-71.543503	-16.355951			
462_2016_24-Sep-16	-71.548657	-16.326284	ccolorado	462	2016	NA	18	NAZARENO 6TA ETAPA	NA	29/09/16	3	5	24-Sep-16	DOG	-71.548657	-16.326284			
468_2016_26-Sep-16	-71.509114	-16.443656	jlbyr	468	2016	NA	NA	BENIGNO BALLON FARFAN	NA	3/10/16	5	7	26-Sep-16	DOG	-71.509114	-16.443656			
47_2019_16-Feb-19	-71.61698	-16.3038	yura	47	2019	Caso006	NA	NA	NS	23/02/19	NA	NA	16-Feb-19	DOG	-71.61698	-16.3038			
48_2019_15-Feb-19	-71.55114	-16.339685	cayma	48	2019	Caso007	NA	NA	NS	NA	NA	NA	15-Feb-19	DOG	-71.55114	-16.339685			
480_2016_7-Oct-16	-71.594387	-16.33264	ccolorado	480	2016	NA	20	JLBYR SECTOR III	NA	12/10/16	3	5	7-Oct-16	DOG	-71.594387	-16.33264			
481_2016_11-Oct-16	-71.51231	-16.402854	mmelgar	481	2016		NA	CALLE ICA 508		NA	NA	NA	11-Oct-16	DOG	-71.51231	-16.402854			
485_2016_11-Oct-16	-71.579972	-16.405291	sachaca	485	2016		NA	IRRIGAC HUARANGUILLO N° 1		NA	NA	NA	11-Oct-16	DOG	-71.579972	-16.405291			
495_2016_15-Oct-16	-71.545199	-16.323523	ccolorado	495	2016	NA	23	JORGE CHAVEZ	NA	18/10/16	0	3	15-Oct-16	DOG	-71.545199	-16.323523			
51_2018_10-Feb-18	-71.61768	-16.351608	ccolorado	51	2018	Caso008	3	JLBYR SECTOR 9 AMPLIACION	CON DUENHO	15/02/18	3	5	10-Feb-18	DOG	-71.61768	-16.351608			
52_2018_10-Feb-18	-71.59883	-16.352282	ccolorado	52	2018	Caso009	4	PERUARBO SECTOR PERU 3	CON DUENHO	15/02/18	4	5	10-Feb-18	DOG	-71.59883	-16.352282			
52_2021_22-Feb-21	-72.180339	-16.327741	pedregal	52	2021	Caso016	NA	CIUDAD MAJES MODULO B	NA	27/02/21	2	5	22-Feb-21	DOG	-72.180339	-16.327741			
534_2016_17-Nov-16	-71.589926	-16.338372	ccolorado	534	2016	NA	28	NUEVA AREQUIPA	NA	19/11/16	0	2	17-Nov-16	DOG	-71.589926	-16.338372			
54_2024_13-Feb-24	-71.547669	-16.310426	ccolorado	54	2024	Caso002	NA	Villa Progreso	CON DUENHO	15/02/24	NA	NA	13-Feb-24	DOG	-71.547669	-16.310426			
56_2021_25-Feb-21	-71.633407	-16.311133	ccolorado	56	2021	Caso017	NA	PROFAN 1RA ETAPA	NA	1/3/21	1	4	25-Feb-21	DOG	-71.633407	-16.311133			
56_2023_15-Feb-23	-71.610118	-16.330195	ccolorado	56	2023	Caso004	NA	APIPA 3 MZ F LOTE 21	CON DUENHO	18/02/23	2	3	15-Feb-23	DOG	-71.610118	-16.330195			
560_2015_7-Sep-15	-71.496185	-16.402558	mmelgar	560	2015	13	NA	PSJE SR. DE HUANCA MZ2 L6	CON DUENHO	8/9/15	0	1	7-Sep-15	DOG	-71.496185	-16.402558			
562_2016_7-Dec-16	-71.583029	-16.325663	ccolorado	562	2016	NA	29	MERCADO MAYORISTA	NA	11/12/16	1	4	7-Dec-16	DOG	-71.583029	-16.325663			
